Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
lexus,UX 250h,17995.0,2019,1987cc,"52,250 miles",Other,Automatic,GREY,Estate,4X2,5.0,5.0,107 bhp,110 mph,8.5 seconds,94 g/km
lexus,NX 300h,34390.0,2021,2494cc,"10,303 miles",Petrol Hybrid,Automatic,Silver,SUV,4X4,5.0,5.0,194 bhp,112 mph,9.2 seconds,174 g/km
lexus,RX 450h,48990.0,2022,3456cc,"12,315 miles",Petrol Hybrid,Automatic,Silver,SUV,4X4,5.0,5.0,308 bhp,124 mph,7.7 seconds,
lexus,NX 350h,46990.0,2023,2487cc,365 miles,Petrol Hybrid,Automatic,Black,SUV,4X4,5.0,5.0,239 bhp,124 mph,,136 g/km
lexus,UX 250h,19500.0,2019,1987cc,"44,720 miles",Petrol Hybrid,Automatic,Black,SUV,4X2,5.0,5.0,107 bhp,110 mph,8.5 seconds,97 g/km
lexus,CT,19499.0,2021,1.8L,"14,206 miles",Hybrid,Automatic,Black,Hatchback,4X2,5.0,5.0,134 bhp,112 mph,10.3 seconds,119 g/km
lexus,LC,41995.0,2017,3456cc,"52,000 miles",Petrol,Automatic,White,Coupe,,,,,,,
lexus,CT,15390.0,2018,1798cc,"32,000 miles",Other,Automatic,Silver,Hatchback,4X2,5.0,5.0,134 bhp,112 mph,,94 g/km
lexus,UX 250h,18599.0,2019,1987cc,"58,368 miles",Hybrid,,Black,SUV,4X2,5.0,5.0,107 bhp,110 mph,8.5 seconds,94 g/km
lexus,RX 450h,31999.0,2020,3.5L,"68,000 miles",Hybrid,Automatic,Red,SUV,,,,,,,
lexus,NX,53695.0,2023,2.5L,"8,008 miles",Hybrid,Automatic,Black,SUV,,,,,,,
lexus,NX,39695.0,2022,2.5L,"9,200 miles",Hybrid,Automatic,Black,SUV,4X4,5.0,5.0,239 bhp,124 mph,,130 g/km
lexus,NX,34699.0,2020,2.5L,"29,655 miles",Hybrid,Automatic,Red,SUV,4X4,5.0,5.0,194 bhp,112 mph,9.2 seconds,173 g/km
lexus,RX 450h,42858.0,2022,3.5L,"11,114 miles",Hybrid,Automatic,Silver,SUV,4X4,5.0,5.0,308 bhp,124 mph,7.7 seconds,179 g/km
lexus,ES 300h,37999.0,2023,2.5L,"10,082 miles",Hybrid,Automatic,Grey,Saloon,4X2,4.0,5.0,214 bhp,112 mph,8.9 seconds,122 g/km
lexus,ES 300h,32999.0,2023,2.5L,"17,670 miles",Hybrid,Automatic,Black,Saloon,4X2,4.0,5.0,214 bhp,112 mph,8.9 seconds,121 g/km
lexus,NX,30695.0,2021,2.5L,"20,976 miles",Hybrid,Automatic,Grey,SUV,4X4,5.0,5.0,194 bhp,112 mph,9.2 seconds,176 g/km
lexus,UX 250h,27999.0,2021,2L,"11,075 miles",Hybrid,Automatic,Black,SUV,4X2,5.0,5.0,107 bhp,110 mph,8.5 seconds,127 g/km
lexus,CT,14599.0,2019,1.8L,"51,000 miles",Other,Automatic,Red,Hatchback,4X2,5.0,5.0,134 bhp,112 mph,10.3 seconds,101 g/km
lexus,ES 300h,37995.0,2023,2487cc,476 miles,Petrol Hybrid,Automatic,Unknown,Saloon,4X2,4.0,5.0,214 bhp,112 mph,8.9 seconds,
lexus,NX,47995.0,2023,2487cc,14 miles,Petrol Hybrid,Automatic,Unknown,SUV,4X4,5.0,5.0,239 bhp,124 mph,,
lexus,ES 300h,48995.0,2023,2487cc,12 miles,Petrol Hybrid,Automatic,Unknown,Saloon,4X2,4.0,5.0,214 bhp,112 mph,8.9 seconds,
lexus,NX,53995.0,2023,2487cc,12 miles,Petrol Hybrid,Automatic,Unknown,SUV,4X4,5.0,5.0,239 bhp,124 mph,,
lexus,RX,64995.0,2023,2487cc,751 miles,Petrol Hybrid,Automatic,Unknown,SUV,,,,,,,
lexus,UX 250h,23990.0,2020,1987cc,"25,697 miles",Petrol Hybrid,Automatic,Grey,SUV,4X2,5.0,5.0,107 bhp,110 mph,8.5 seconds,125 g/km
lexus,IS 300,16600.0,2017,2494cc,"48,016 miles",Petrol Hybrid,Automatic,Black,Saloon,4X2,4.0,5.0,178 bhp,125 mph,,101 g/km
lexus,UX 250h,19500.0,2019,1987cc,"46,932 miles",Petrol Hybrid,Automatic,Black,SUV,4X2,5.0,5.0,107 bhp,110 mph,8.5 seconds,97 g/km
lexus,CT 200h,17300.0,2020,1798cc,"20,740 miles",Petrol Hybrid,Automatic,Black,Hatchback,4X2,5.0,5.0,134 bhp,112 mph,10.3 seconds,118 g/km
lexus,RX,2475.0,2001,3000cc,"140,000 miles",Petrol,Automatic,Grey,Other,4X2,3.0,5.0,79 bhp,107 mph,10.9 seconds,150 g/km
lexus,IS,14995.0,2019,2494cc,"89,000 miles",Other,Automatic,WHITE,Saloon,4X2,4.0,5.0,220 bhp,125 mph,8.4 seconds,109 g/km
lexus,RX,23777.0,2016,3456cc,"47,630 miles",Other,Automatic,GREY,Estate,4X4,5.0,5.0,259 bhp,124 mph,7.7 seconds,127 g/km
lexus,IS,19194.0,2019,2494cc,"74,000 miles",Other,Automatic,BLUE,Saloon,4X2,4.0,5.0,220 bhp,125 mph,8.4 seconds,109 g/km
lexus,NX,28788.0,2020,2494cc,"41,363 miles",Other,Automatic,BLACK,Estate,4X4,5.0,5.0,194 bhp,112 mph,9.2 seconds,137 g/km
lexus,UX 250h,29755.0,2020,1987cc,"8,835 miles",Other,Automatic,SILVER,Estate,4X2,5.0,5.0,107 bhp,110 mph,8.5 seconds,121 g/km
lexus,IS,17999.0,2017,2.5L,"17,300 miles",Other,Automatic,Black,Saloon,4X2,4.0,5.0,178 bhp,125 mph,,107 g/km
lexus,NX 300h,32990.0,2020,2494cc,"14,204 miles",Petrol Hybrid,Automatic,Black,SUV,4X4,5.0,5.0,194 bhp,112 mph,9.2 seconds,137 g/km
lexus,RC,68990.0,2023,4969cc,250 miles,Petrol,Automatic,Unknown,Coupe,4X2,2.0,4.0,471 bhp,168 mph,,
lexus,NX,29334.0,2020,2.5L,"18,000 miles",Hybrid,Automatic,Silver,SUV,4X4,5.0,5.0,194 bhp,112 mph,9.2 seconds,173 g/km
lexus,NX,31950.0,2020,2.5L,"15,349 miles",Hybrid,Automatic,Grey,SUV,4X4,5.0,5.0,194 bhp,112 mph,9.2 seconds,174 g/km
lexus,NX,29950.0,2019,2.5L,"29,824 miles",Hybrid,Automatic,White,SUV,4X4,5.0,5.0,194 bhp,112 mph,9.2 seconds,137 g/km
lexus,RX 450h,56155.0,2023,2.5L,"10,642 miles",Hybrid,Automatic,Black,SUV,4X4,5.0,5.0,304 bhp,112 mph,,25 g/km
lexus,NX,31455.0,2019,2.5L,"34,894 miles",Hybrid,Automatic,Silver,SUV,4X4,5.0,5.0,194 bhp,112 mph,9.2 seconds,137 g/km
lexus,RX,64355.0,2023,2.4L,"5,700 miles",Hybrid,Automatic,White,SUV,4X4,5.0,5.0,366 bhp,130 mph,,184 g/km
lexus,NX,21055.0,2017,2.5L,"59,250 miles",Hybrid,Automatic,Silver,SUV,4X4,5.0,5.0,153 bhp,112 mph,9.2 seconds,121 g/km
lexus,GS,19677.0,2016,2.5L,"29,538 miles",Hybrid,Automatic,Black,Saloon,4X2,4.0,5.0,178 bhp,118 mph,9.0 seconds,113 g/km
lexus,RX 450h,39916.0,2021,3.5L,"40,595 miles",Hybrid,Automatic,Blue,SUV,4X4,5.0,5.0,308 bhp,124 mph,7.7 seconds,181 g/km
lexus,UX 250h,27995.0,2020,2L,"9,435 miles",Hybrid,Automatic,Red,SUV,4X4,5.0,5.0,107 bhp,110 mph,8.7 seconds,103 g/km
lexus,UX,19595.0,2019,1987cc,"66,000 miles",Petrol,Automatic,Grey,SUV,4X2,5.0,5.0,107 bhp,110 mph,8.5 seconds,97 g/km
lexus,CT,9890.0,2015,1800cc,"89,899 miles",Other,Automatic,Grey,Other,4X2,5.0,5.0,134 bhp,112 mph,10.3 seconds,94 g/km
lexus,GS,8690.0,2013,2500cc,"116,000 miles",Petrol,Automatic,White,Other,4X2,4.0,5.0,206 bhp,144 mph,8.6 seconds,209 g/km
lexus,IS,17970.0,2019,2494cc,"16,386 miles",Other,Automatic,BLACK,Saloon,4X2,4.0,5.0,220 bhp,125 mph,8.4 seconds,109 g/km
lexus,RC,20590.0,2016,2494cc,"45,000 miles",Other,Automatic,BLUE,Coupe,4X2,2.0,4.0,178 bhp,118 mph,8.6 seconds,116 g/km
lexus,UX 250h,22495.0,2019,1987cc,"34,500 miles",Other,Automatic,SILVER,Estate,4X2,5.0,5.0,107 bhp,110 mph,8.5 seconds,97 g/km
lexus,RX,34950.0,2021,3456cc,"34,500 miles",Other,Automatic,SILVER,Estate,4X4,5.0,5.0,308 bhp,124 mph,7.7 seconds,181 g/km
lexus,CT,11000.0,2015,1798cc,"72,216 miles",Other,Automatic,BLACK,Hatchback,4X2,5.0,5.0,135 bhp,113 mph,10.3 seconds,94 g/km
lexus,ES 300h,22999.0,2020,2.5L,"34,649 miles",Hybrid,Automatic,Black,Saloon,,,,,,,
lexus,CT,16049.0,2019,1798cc,"39,241 miles",Hybrid,,Black,Hatchback,4X2,5.0,5.0,134 bhp,112 mph,10.3 seconds,101 g/km
lexus,RX 450h,29930.0,2018,3.5L,"26,515 miles",Hybrid,Automatic,White,SUV,4X4,5.0,5.0,259 bhp,124 mph,7.7 seconds,127 g/km
lexus,RX 450h,63995.0,2023,2.5L,"9,679 miles",Hybrid,Automatic,White,SUV,4X4,5.0,5.0,304 bhp,112 mph,,25 g/km
lexus,RX,54950.0,2023,2.5L,50 miles,Hybrid,Automatic,Silver,SUV,4X4,5.0,5.0,247 bhp,112 mph,,143 g/km
lexus,ES 300h,33129.0,2021,2.5L,"38,735 miles",Hybrid,Automatic,Grey,Saloon,4X2,4.0,5.0,214 bhp,112 mph,8.9 seconds,
lexus,LC 500,44000.0,2018,3456cc,"47,802 miles",Petrol Hybrid,Automatic,Silver,Coupe,,,,,,,
lexus,RX 450h,38495.0,2021,3456cc,"21,746 miles",Petrol Hybrid,Automatic,Blue,SUV,4X4,5.0,5.0,308 bhp,124 mph,7.7 seconds,179 g/km
lexus,NX,26295.0,2018,2494cc,"25,960 miles",Petrol Hybrid,Automatic,White,SUV,4X4,5.0,5.0,194 bhp,112 mph,,121 g/km
lexus,NX,30995.0,2020,2494cc,"36,347 miles",Petrol Hybrid,Automatic,Orange,SUV,4X4,5.0,5.0,194 bhp,112 mph,9.2 seconds,175 g/km
lexus,NX 300h,25500.0,2019,2494cc,"38,246 miles",Petrol Hybrid,Automatic,White,SUV,4X4,5.0,5.0,194 bhp,112 mph,9.2 seconds,137 g/km
lexus,NX,42990.0,2022,2487cc,"5,451 miles",Petrol Hybrid,Automatic,Green,SUV,4X4,5.0,5.0,239 bhp,124 mph,,137 g/km
lexus,RX 450h,37790.0,2020,3456cc,"19,220 miles",Petrol Hybrid,Automatic,Blue,SUV,4X4,5.0,5.0,308 bhp,124 mph,7.7 seconds,134 g/km
lexus,RX,55990.0,2023,2487cc,"4,788 miles",Petrol Hybrid,Automatic,Grey,SUV,4X4,5.0,5.0,247 bhp,112 mph,,144 g/km
lexus,ES 300h,29990.0,2021,2487cc,"19,758 miles",Petrol Hybrid,Automatic,Blue,Saloon,4X2,4.0,5.0,214 bhp,112 mph,8.9 seconds,127 g/km
lexus,RX 450h,34490.0,2019,3456cc,"43,321 miles",Petrol Hybrid,Automatic,Silver,SUV,4X4,5.0,5.0,308 bhp,124 mph,7.7 seconds,134 g/km
lexus,RX L 450h,44950.0,2022,3.5l,"2,129 miles",Hybrid,Automatic,Silver,Other,4X4,5.0,7.0,308 bhp,112 mph,,185 g/km
lexus,RC 300h,27250.0,2019,2494cc,"22,780 miles",Petrol/Electric Hybrid,Automatic,White,Coupe,4X2,2.0,4.0,220 bhp,118 mph,8.6 seconds,114 g/km
lexus,GS 450h,4990.0,2009,3456cc,"117,000 miles",Petrol Hybrid,Auto,Green,Saloon,4X2,4.0,5.0,342 bhp,155 mph,5.9 seconds,181 g/km
lexus,NX,24990.0,2018,2494cc,"35,650 miles",Other,Automatic,Black,SUV,4X4,5.0,5.0,194 bhp,112 mph,,135 g/km
lexus,IS,15349.0,2016,2494cc,"35,264 miles",Hybrid,,Black,Saloon,4X2,4.0,5.0,178 bhp,125 mph,8.4 seconds,101 g/km
lexus,UX 250h,25990.0,2022,1987cc,"23,652 miles",Petrol Hybrid,Automatic,Grey,SUV,4X2,5.0,5.0,107 bhp,110 mph,8.5 seconds,125 g/km
lexus,CT 200h,15990.0,2017,1798cc,"26,250 miles",Petrol Hybrid,Automatic,Red,Hatchback,4X2,5.0,5.0,134 bhp,112 mph,10.3 seconds,94 g/km
lexus,CT,12495.0,2015,1798cc,"74,000 miles",Other,Automatic,WHITE,Hatchback,4X2,5.0,5.0,134 bhp,112 mph,10.3 seconds,94 g/km
lexus,ES 300h,29485.0,2021,2487cc,"28,193 miles",Petrol Hybrid,Automatic,Black,Saloon,4X2,4.0,5.0,214 bhp,112 mph,8.9 seconds,127 g/km
lexus,NX,26485.0,2019,2494cc,"30,226 miles",Petrol Hybrid,Automatic,Silver,SUV,4X4,5.0,5.0,194 bhp,112 mph,9.2 seconds,135 g/km
lexus,NX,30485.0,2020,2494cc,"22,768 miles",Petrol Hybrid,Automatic,Black,SUV,4X4,5.0,5.0,194 bhp,112 mph,9.2 seconds,137 g/km
lexus,NX 300h,24800.0,2020,2494cc,"47,080 miles",Petrol Hybrid,Automatic,Black,SUV,4X4,5.0,5.0,194 bhp,112 mph,9.2 seconds,137 g/km
lexus,RX,12995.0,2011,3456cc,"90,800 miles",Petrol,Automatic,White,SUV,4X4,5.0,5.0,295 bhp,124 mph,7.8 seconds,145 g/km
lexus,RX 450h,29990.0,2019,3.5L,"30,132 miles",Hybrid,Automatic,Grey,SUV,4X4,5.0,5.0,308 bhp,124 mph,7.7 seconds,134 g/km
lexus,UX 250h,29995.0,2023,1987cc,"7,976 miles",Petrol Hybrid,Automatic,Black,SUV,4X2,5.0,5.0,107 bhp,110 mph,8.5 seconds,120 g/km
lexus,NX,46295.0,2023,2487cc,"1,035 miles",Petrol Hybrid,Automatic,Green,SUV,4X4,5.0,5.0,239 bhp,124 mph,,136 g/km
lexus,UX 300e,46990.0,2023,673 miles,Electric,Automatic,Grey,SUV,0.1 mpg,4X2,5.0,5.0,201 bhp,100 mph,,0 g/km
lexus,ES 300h,36990.0,2023,2487cc,"3,546 miles",Petrol Hybrid,Automatic,White,Saloon,4X2,4.0,5.0,214 bhp,112 mph,8.9 seconds,121 g/km
lexus,RX,55990.0,2023,2487cc,"2,389 miles",Petrol Hybrid,Automatic,White,SUV,4X4,5.0,5.0,247 bhp,112 mph,,143 g/km
lexus,RX,74990.0,2023,2393cc,"2,510 miles",Petrol Hybrid,Automatic,Black,SUV,4X4,5.0,5.0,366 bhp,130 mph,,184 g/km
lexus,NX,52490.0,2023,2487cc,"1,048 miles",Petrol Plugin Hybrid,Automatic,Black,SUV,4X4,5.0,5.0,302 bhp,124 mph,6.3 seconds,22 g/km
lexus,RX 450h,74990.0,2023,2487cc,"4,397 miles",Petrol Plugin Hybrid,Automatic,Grey,SUV,4X4,5.0,5.0,304 bhp,112 mph,,25 g/km
lexus,ES 300h,46990.0,2023,2487cc,"3,300 miles",Petrol Hybrid,Automatic,Black,Saloon,4X2,4.0,5.0,214 bhp,112 mph,8.9 seconds,123 g/km
lexus,UX 250h,34990.0,2023,1987cc,"1,000 miles",Petrol Hybrid,Automatic,Black,SUV,4X2,5.0,5.0,181 bhp,110 mph,,126 g/km
lexus,UX 250h,27990.0,2021,1987cc,"15,151 miles",Petrol Hybrid,Automatic,Black,SUV,4X2,5.0,5.0,107 bhp,110 mph,8.5 seconds,127 g/km
lexus,UX 250h,18800.0,2019,1987cc,"52,660 miles",Petrol Hybrid,Automatic,Blue,SUV,4X2,5.0,5.0,107 bhp,110 mph,8.5 seconds,94 g/km
lexus,RX 450h,30350.0,2019,3.5L,"59,246 miles",Hybrid,Automatic,White,SUV,4X4,5.0,5.0,308 bhp,124 mph,7.7 seconds,134 g/km
lexus,NX,23695.0,2017,2.5L,"41,944 miles",Hybrid,Automatic,Silver,SUV,4X4,5.0,5.0,153 bhp,112 mph,9.2 seconds,121 g/km
lexus,RX 450h,37922.0,2021,3.5L,"17,104 miles",Hybrid,Automatic,Black,SUV,4X4,5.0,5.0,308 bhp,124 mph,7.7 seconds,181 g/km
lexus,CT,17741.0,2019,1.8L,"19,752 miles",Hybrid,Automatic,Blue,Hatchback,4X2,5.0,5.0,134 bhp,112 mph,10.3 seconds,101 g/km
lexus,RX 450h,45890.0,2021,3.5L,"9,726 miles",Hybrid,Automatic,Silver,SUV,,,,,,,
lexus,GS,12490.0,2013,3456cc,"128,000 miles",Petrol,Automatic,Grey,Saloon,4X2,4.0,5.0,342 bhp,155 mph,5.9 seconds,145 g/km
lexus,RC,33950.0,2020,2.5L,"10,044 miles",Hybrid,Automatic,Blue,Coupe,4X2,2.0,4.0,220 bhp,118 mph,8.6 seconds,146 g/km
lexus,UX 250h,21199.0,2020,2L,"32,000 miles",Hybrid,Automatic,White,SUV,4X2,5.0,5.0,107 bhp,110 mph,8.5 seconds,
lexus,UX 250h,25268.0,2021,2L,"15,092 miles",Hybrid,Automatic,Black,SUV,4X2,5.0,5.0,107 bhp,110 mph,8.5 seconds,125 g/km
lexus,ES 300h,38995.0,2022,2.5L,"7,902 miles",Hybrid,Automatic,Grey,Saloon,4X2,4.0,5.0,214 bhp,112 mph,8.9 seconds,127 g/km
lexus,RX 450h,16480.0,2015,3456cc,"98,000 miles",Petrol Hybrid,Automatic,Grey,SUV,4X4,5.0,5.0,295 bhp,124 mph,7.8 seconds,145 g/km
lexus,RX 450h,34990.0,2019,3456cc,"44,598 miles",Petrol Hybrid,Automatic,Blue,SUV,4X4,5.0,5.0,308 bhp,124 mph,7.7 seconds,134 g/km
lexus,RX 450h,38950.0,2022,3.5L,"33,000 miles",Petrol/Electric Hybrids,Automatic,EMINENT WHITE PEARL,SUV,4X4,5.0,5.0,308 bhp,124 mph,7.7 seconds,179 g/km
lexus,IS 300,18000.0,2019,2494cc,"29,179 miles",Petrol Hybrid,Automatic,Red,Saloon,4X2,4.0,5.0,220 bhp,125 mph,8.4 seconds,109 g/km
lexus,NX,30521.0,2021,2.5L,"18,227 miles",Hybrid,Automatic,Silver,SUV,4X4,5.0,5.0,194 bhp,112 mph,9.2 seconds,174 g/km
lexus,UX 250h,31355.0,2021,2L,"6,744 miles",Hybrid,Automatic,Grey,SUV,4X2,5.0,5.0,107 bhp,110 mph,8.5 seconds,
lexus,RX,66455.0,2023,2.4L,"1,440 miles",Hybrid,Automatic,Blue,SUV,4X4,5.0,5.0,366 bhp,130 mph,,183 g/km
lexus,ES 300h,29995.0,2021,2.5L,"29,325 miles",Hybrid,Automatic,Blue,Saloon,4X2,4.0,5.0,214 bhp,112 mph,8.9 seconds,127 g/km
lexus,RX 450h,69495.0,2023,2.5L,"5,135 miles",Hybrid,Automatic,Black,SUV,4X4,5.0,5.0,304 bhp,112 mph,,25 g/km
lexus,NX,24933.0,2020,2.5L,"43,901 miles",Hybrid,Automatic,Black,SUV,4X4,5.0,5.0,194 bhp,112 mph,9.2 seconds,172 g/km
lexus,UX 250h,25199.0,2019,1987cc,"48,487 miles",Other,Automatic,GREY,Estate,4X2,5.0,5.0,107 bhp,110 mph,8.5 seconds,97 g/km
lexus,NX,25999.0,2018,2494cc,"36,719 miles",Other,Automatic,RED,Estate,4X4,5.0,5.0,194 bhp,112 mph,,121 g/km
lexus,RX 450h,62495.0,2023,2.5L,"11,668 miles",Hybrid,Automatic,Green,SUV,4X4,5.0,5.0,304 bhp,112 mph,,25 g/km
lexus,UX 250h,26177.0,2021,2L,"18,851 miles",Hybrid,Automatic,Blue,SUV,4X2,5.0,5.0,107 bhp,110 mph,8.5 seconds,127 g/km
lexus,NX,31138.0,2021,2.5L,"19,404 miles",Hybrid,Automatic,Silver,SUV,4X4,5.0,5.0,194 bhp,112 mph,9.2 seconds,174 g/km
lexus,NX,25790.0,2018,2.5L,"36,169 miles",Hybrid,Automatic,Silver,SUV,4X4,5.0,5.0,194 bhp,112 mph,9.2 seconds,135 g/km
lexus,NX,27000.0,2019,2494cc,"17,000 miles",Other,Automatic,BLACK,Estate,4X4,5.0,5.0,194 bhp,112 mph,9.2 seconds,137 g/km
lexus,RX 450h,23490.0,2016,3.5L,"46,864 miles",Hybrid,Automatic,Silver,SUV,,,,,,,
lexus,ES 300h,36094.0,2022,2.5L,"6,879 miles",Hybrid,Automatic,Red,Saloon,4X2,4.0,5.0,214 bhp,112 mph,8.9 seconds,124 g/km
lexus,NX,30055.0,2021,2.5L,"22,409 miles",Hybrid,Automatic,Grey,SUV,4X4,5.0,5.0,194 bhp,112 mph,9.2 seconds,173 g/km
lexus,RX 450h,28990.0,2019,3.5L,"52,986 miles",Hybrid,Automatic,Grey,SUV,4X4,5.0,5.0,308 bhp,124 mph,7.7 seconds,134 g/km
lexus,UX 250h,31190.0,2023,1987cc,786 miles,Petrol Hybrid,Automatic,Black,SUV,4X2,5.0,5.0,181 bhp,110 mph,,126 g/km
lexus,UX 250h,30990.0,2023,1987cc,"5,425 miles",Petrol Hybrid,Automatic,Black,SUV,4X2,5.0,5.0,181 bhp,110 mph,,126 g/km
lexus,NX,44990.0,2023,2487cc,888 miles,Petrol Hybrid,Automatic,Silver,SUV,4X4,5.0,5.0,239 bhp,124 mph,,136 g/km
lexus,UX 250h,31990.0,2023,1987cc,"1,561 miles",Petrol Hybrid,Automatic,Grey,SUV,4X2,5.0,5.0,107 bhp,110 mph,8.5 seconds,124 g/km
lexus,GS,19990.0,2018,2494cc,"67,131 miles",Petrol Hybrid,Automatic,Blue,Saloon,4X2,4.0,5.0,178 bhp,118 mph,9.0 seconds,104 g/km
lexus,NX,28985.0,2020,2494cc,"36,532 miles",Petrol Hybrid,Automatic,Black,SUV,4X4,5.0,5.0,194 bhp,112 mph,9.2 seconds,172 g/km
lexus,UX 250h,23985.0,2020,1987cc,"17,521 miles",Petrol Hybrid,Automatic,Blue,SUV,4X2,5.0,5.0,107 bhp,110 mph,8.5 seconds,125 g/km
lexus,ES,29495.0,2022,2494cc,"10,604 miles",Petrol,Automatic,Red,Saloon,4X2,4.0,5.0,214 bhp,112 mph,8.9 seconds,124 g/km
lexus,RX,24989.0,2017,3456cc,"78,120 miles",Other,Automatic,SILVER,Estate,4X4,5.0,5.0,259 bhp,124 mph,7.7 seconds,127 g/km
lexus,NX,53495.0,2022,2.5L,"10,744 miles",Hybrid,Automatic,Black,SUV,4X4,5.0,5.0,239 bhp,124 mph,,145 g/km
lexus,LC 500,91900.0,2023,5L,"3,162 miles",Petrol,Semiauto,Black,Coupe,4X2,2.0,4.0,457 bhp,168 mph,,262 g/km
lexus,RX,70490.0,2023,2.4L,"3,456 miles",Hybrid,Automatic,Grey,SUV,4X4,5.0,5.0,366 bhp,130 mph,,183 g/km
lexus,RX,58490.0,2023,2.5L,10 miles,Hybrid,Automatic,Grey,SUV,4X4,5.0,5.0,247 bhp,112 mph,,143 g/km
lexus,NX,63290.0,2023,2.5L,"3,456 miles",Hybrid,Automatic,Silver,SUV,4X4,5.0,5.0,302 bhp,124 mph,6.3 seconds,26 g/km
lexus,RX 450h,46990.0,2022,3.5L,"19,026 miles",Hybrid,Automatic,Green,SUV,4X4,5.0,5.0,308 bhp,124 mph,7.7 seconds,180 g/km
lexus,NX,32495.0,2021,2494cc,"21,331 miles",Petrol Hybrid,Automatic,Silver,SUV,4X4,5.0,5.0,194 bhp,112 mph,9.2 seconds,174 g/km
lexus,NX,52995.0,2022,2487cc,"5,550 miles",Petrol Hybrid,Automatic,White,SUV,4X4,5.0,5.0,239 bhp,124 mph,,144 g/km
lexus,UX 250h,31495.0,2023,1987cc,"6,707 miles",Petrol Hybrid,Automatic,Orange,SUV,4X2,5.0,5.0,181 bhp,110 mph,,126 g/km
lexus,UX 250h,33495.0,2023,1987cc,"8,132 miles",Petrol Hybrid,Automatic,Green,SUV,4X2,5.0,5.0,107 bhp,110 mph,8.5 seconds,127 g/km
lexus,UX 250h,30990.0,2023,1987cc,"3,210 miles",Petrol Hybrid,Automatic,Black,SUV,4X2,5.0,5.0,181 bhp,110 mph,,126 g/km
lexus,ES 300h,32990.0,2021,2487cc,"11,872 miles",Petrol Hybrid,Automatic,Silver,Saloon,4X2,4.0,5.0,214 bhp,112 mph,8.9 seconds,128 g/km
lexus,RX 450h,37990.0,2021,3456cc,"19,550 miles",Petrol Hybrid,Automatic,Blue,SUV,,,,,,,
lexus,NX 300h,31660.0,2019,2494cc,"20,896 miles",Petrol Hybrid,Automatic,Red,SUV,4X4,5.0,5.0,194 bhp,112 mph,9.2 seconds,135 g/km
lexus,CT 200h,16220.0,2018,1798cc,"39,446 miles",Petrol Hybrid,Automatic,White,Hatchback,4X2,5.0,5.0,134 bhp,112 mph,10.3 seconds,101 g/km
lexus,IS,13990.0,2016,2.5L,"65,714 miles",Hybrid,Automatic,Black,Saloon,4X2,4.0,5.0,178 bhp,125 mph,8.4 seconds,101 g/km
lexus,GS,12000.0,2013,2500cc,"69,000 miles",Petrol,Automatic,BLACK,Saloon,4X2,4.0,5.0,206 bhp,144 mph,8.6 seconds,211 g/km
lexus,GS,9950.0,2013,2500cc,"77,500 miles",Petrol,Automatic,Silver,Saloon,4X2,4.0,5.0,206 bhp,144 mph,8.6 seconds,209 g/km
lexus,NX,28950.0,2019,2.5L,"54,000 miles",Hybrid,Automatic,Grey,SUV,4X4,5.0,5.0,194 bhp,112 mph,9.2 seconds,137 g/km
lexus,RX 450h,36950.0,2020,3.5L,"11,653 miles",Hybrid,Automatic,Black,SUV,4X4,5.0,5.0,308 bhp,124 mph,7.7 seconds,134 g/km
lexus,UX 250h,27950.0,2020,2L,"19,544 miles",Hybrid,Automatic,Grey,SUV,4X2,5.0,5.0,107 bhp,110 mph,8.5 seconds,97 g/km
lexus,RX 450h,42450.0,2020,3.5L,"14,806 miles",Hybrid,Automatic,Green,SUV,4X4,5.0,5.0,308 bhp,124 mph,7.7 seconds,134 g/km
lexus,RX 450h L,37950.0,2019,3.5L,"29,053 miles",Hybrid,Automatic,Silver,SUV,4X4,5.0,5.0,308 bhp,124 mph,7.7 seconds,134 g/km
lexus,NX,31340.0,2020,2.5L,"12,738 miles",Hybrid,Automatic,Red,SUV,4X4,5.0,5.0,194 bhp,112 mph,9.2 seconds,137 g/km
lexus,UX 250h,26790.0,2021,1987cc,"12,980 miles",Petrol Hybrid,Automatic,Red,SUV,4X2,5.0,5.0,107 bhp,110 mph,8.5 seconds,125 g/km
lexus,RC,19995.0,2018,2494cc,"78,000 miles",Other,Automatic,Grey,Coupe,,,,,,,
lexus,GS,3950.0,2007,2995cc,"94,000 miles",Petrol,Automatic,Red,Saloon,4X2,4.0,5.0,245 bhp,124 mph,7.2 seconds,232 g/km
lexus,RX 450h,42795.0,2021,3.5L,"30,020 miles",Hybrid,Automatic,Blue,SUV,4X4,5.0,5.0,308 bhp,124 mph,7.7 seconds,180 g/km
lexus,NX,42595.0,2022,2.5L,"17,012 miles",Hybrid,Automatic,Black,SUV,4X4,5.0,5.0,239 bhp,124 mph,,136 g/km
lexus,RX 450h,29495.0,2016,3.5L,"46,036 miles",Hybrid,Automatic,Silver,SUV,4X4,5.0,5.0,259 bhp,124 mph,7.7 seconds,127 g/km
lexus,IS 300,20500.0,2020,2494cc,"43,277 miles",Petrol Hybrid,Automatic,Blue,Saloon,4X2,4.0,5.0,220 bhp,125 mph,,143 g/km
